time,theta1,theta2,omega1,omega2,Tm1,Tm2,N,PL1,PL2,PL0_1,PL0_2,P0_1,P0_2,Pmax_1,Pmax_2,KL_nom,KL_one,t_line_trip
0.0,0.0,-0.06532059295893214,314.1592653589793,314.1592653589793,1.909859317102744,1.2732395447351628,0.0,400.0,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
0.23521698057219662,-2.660819121258089e-5,-0.06532401729469822,314.15894116398215,314.1591953033779,1.9098822217726434,1.2732444363564295,9.440119699128169e-7,400.3920283009536,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
0.411728074950235,-0.00012707640710527774,-0.06536631927056084,314.15842866355064,314.15877663171887,1.9099192527509152,1.273273426057864,4.997985430176273e-6,400.68621345825034,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
0.6476641682711017,-0.0004265025263442538,-0.06561312667126956,314.15750128873935,314.1575809537854,1.9099884118958141,1.2733566302610868,1.9092312750867196e-5,401.0794402804518,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
0.8876288305656577,-0.0010138276966202753,-0.06618439727829045,314.15603668034987,314.15618566303016,1.91009981362386,1.2734557440784435,4.819099521074536e-5,401.47938138427605,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
1.3291680018168577,-0.003214269208668328,-0.06826355748251263,314.1524062888965,314.15257533139453,1.9103873823944606,1.2737174037739578,0.0001561917156837157,402.215280003028,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
1.648858712060034,-0.0059158430458500074,-0.07093115038494506,314.14908746464164,314.1492689844967,1.910661665314303,1.273962712399507,0.00029070405862984775,402.74809785343336,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
2.1197880993356835,-0.0120461181188279,-0.07693608585733658,314.1433118549388,314.14345516871174,1.911161398899042,1.2744048714302088,0.0005951288189368213,403.5329801655595,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
2.5907174866113327,-0.02110785473245418,-0.08591251597594161,314.13656435858076,314.13688719431195,1.9117758115750505,1.274921562590442,0.001046793874700691,404.3178624776856,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
3.0845721527935326,-0.03419390223124456,-0.09889673029314686,314.1288370715914,314.1289804002092,1.9125225649809412,1.2755609346293064,0.0016993990299487515,405.14095358798926,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
3.6571732306797324,-0.05440525108221913,-0.11896642313182418,314.1190462455993,314.11920987933576,1.913526516232524,1.2763831750937646,0.002707605538959854,406.0952887177996,600.0,400.0,600.0,600.0,400.0,1000.0,600.0,3064.0,1532.0,15.0
