theta1,theta2,w1,w2,Tm1,Tm2,N,time
0.0,-0.06532059295893214,314.1592653589793,314.1592653589793,1.909859317102744,1.2732395447351628,0.0,0.0
-4.757541860901889e-07,-0.0653205986560447,314.1592417147807,314.1592647501826,1.909860970416337,1.273239588895428,1.9087138530924227e-08,0.06006006006006006
-3.7210520045245936e-06,-0.06532087836895271,314.15917294681566,314.15925638963205,1.909865806995443,1.2732401755136138,1.5169618031882103e-07,0.12012012012012012
-1.2338280912000527e-05,-0.0653222929014386,314.1590652806577,314.1592188341931,1.9098734286309504,1.2732427742184484,5.105306615085571e-07,0.18018018018018017
-2.8431145819883694e-05,-0.06532744911961229,314.15892600208684,314.15912737780815,1.9098833622607465,1.273249075672547,1.205807439558936e-06,0.24024024024024024
-5.37127772741861e-05,-0.06533999495792495,314.1587578861264,314.15897587784843,1.9098954476752938,1.2732595129600948,2.3425310808129976e-06,0.3003003003003003
-8.917206649577146e-05,-0.06536431043788053,314.1585651744019,314.15875243701703,1.9099094154138523,1.2732749057189168,4.004057449185506e-06,0.36036036036036034
-0.0001367767844597789,-0.06540393430138602,314.15834222342005,314.1584846371932,1.909925695303471,1.2732934046951765,6.3044848028103396e-06,0.42042042042042044
-0.00019976307827932453,-0.06545940412984562,314.15808385909133,314.15819675823417,1.9099446912660087,1.2733133866304045,9.378634840188533e-06,0.4804804804804805
-0.00027985178260516884,-0.06553229407049675,314.1577912026513,314.15788778354727,1.9099663520501258,1.273334933808915,1.331108241972556e-05,0.5405405405405406
-0.0003787637320880723,-0.06562417827057679,314.1574653753352,314.15755669653987,1.9099906264044806,1.2733581285150224,1.8186402399826885e-05,0.6006006006006006
-0.000498219761378795,-0.06573663087732314,314.1571074983786,314.15720248061945,1.9100174630777331,1.2733830530330412,2.4089169638897963e-05,0.6606606606606606
-0.0006399407051280977,-0.0658712260379732,314.15671869301684,314.15682411919346,1.9100468108185422,1.273409789647286,3.110395899534427e-05,0.7207207207207207
-0.0008056473979867408,-0.06602953789976437,314.1563000804854,314.1564205956692,1.9100786183755674,1.2734384206420712,3.931534532757127e-05,0.7807807807807807
-0.000997060674605485,-0.06621314060993404,314.1558527820196,314.15599089345415,1.9101128344974678,1.2734690283017114,4.880790349398445e-05,0.8408408408408409
-0.0012159013696350902,-0.0664236083157196,314.155377918855,314.15553399595575,1.9101494079329029,1.2735016949105207,5.966620835298925e-05,0.9009009009009009
-0.0014638903177263173,-0.06666251516435846,314.15487661222693,314.15504888658137,1.9101882874305318,1.2735365027528138,7.197483476299114e-05,0.960960960960961
-0.0017427483535299264,-0.06693143530308801,314.1543499833708,314.15453454873847,1.910229421739014,1.2735735341129053,8.581835758239562e-05,1.021021021021021
-0.0020541589799656056,-0.06723192806084426,314.15379926238785,314.15398949589166,1.910272751490818,1.2736129028438343,0.00010127971021734798,1.0810810810810811
-0.0023986939373312646,-0.06756594687453903,314.1532276949594,314.1534037771265,1.9103180637741053,1.2736552899207783,0.00011840129664879276,1.1411411411411412
-0.0027789158456112692,-0.06793602878421695,314.1526315059859,314.15279722028333,1.910365662605071,1.2736993729694852,0.00013731099207666257,1.2012012012012012
-0.003196055589812454,-0.06834332162877166,314.1520113426062,314.15217009607704,1.9104155222050228,1.2737451433231894,0.00015806951029016504,1.2612612612612613
-0.003651344054941654,-0.0687889732470968,314.1513678519593,314.1515226752226,1.9104676167952683,1.2737925923151252,0.0001807375650785077,1.3213213213213213
-0.004146012126005703,-0.06927413147808603,314.15070168118405,314.150855228435,1.9105219205971156,1.273841711278527,0.0002053758702308982,1.3813813813813813
-0.004681290688011437,-0.06979994416063298,314.15001347741935,314.1501680264291,1.9105784078318717,1.2738924915466285,0.0002320451395365441,1.4414414414414414
-0.005258410625965689,-0.0703675591336313,314.1493038878041,314.14946133992004,1.9106370527208447,1.2739449244526646,0.000260806086784653,1.5015015015015014
-0.005878602824875297,-0.07097812423597462,314.1485735594772,314.14873543962256,1.9106978294853423,1.273999001329869,0.00029171942576443246,1.5615615615615615
-0.006543098169747094,-0.07163278730655658,314.1478231395776,314.1479905962517,1.910760712346672,1.2740547135114761,0.00032484587026509034,1.6216216216216217
-0.0072531275455879115,-0.07233269618427082,314.1470532752442,314.14722708052244,1.910825675526142,1.2741120523307203,0.0003602461340758338,1.6816816816816818
-0.008009921837404588,-0.07307899870801102,314.14626461361587,314.14644516314974,1.9108926932450592,1.2741710091208356,0.00039798093098587057,1.7417417417417418
-0.008814711930203958,-0.07387284271667077,314.1454578018315,314.1456451148485,1.9109617397247318,1.2742315752150561,0.0004381109747844084,1.8018018018018018
-0.009667514446564995,-0.07471436989722798,314.1446342386788,314.1448225774812,1.9110327180981164,1.274294046152267,0.00048063834724436903,1.8618618618618619
-0.01057051938473058,-0.07560614080309035,314.1437941501915,314.1439812814005,1.9111056486404145,1.2743581874259267,0.0005256762538295666,1.921921921921922
-0.011525160422521604,-0.07654957806594197,314.1429376584774,314.14312397247215,1.9111805456403546,1.2744238244841244,0.0005732962679696859,1.981981981981982
-0.012532201050515899,-0.07754543157691259,314.14206521702755,314.14225108404463,1.9112573896035359,1.2744909340512678,0.0006235364281991357,2.042042042042042
-0.013592404759291278,-0.0785944512271319,314.14117727933325,314.1413630494663,1.9113361610355584,1.2745594928517638,0.0006764347730523244,2.1021021021021022
-0.014706535039425568,-0.0796973869077297,314.14027429888563,314.14046030208567,1.9114168404420222,1.2746294776100195,0.000732029341063661,2.1621621621621623
-0.015875355381496592,-0.08085498850983569,314.1393567291759,314.13954327525107,1.911499408328527,1.2747008650504423,0.0007903581707675543,2.2222222222222223
-0.017099629276082173,-0.08206800592457962,314.13842502369533,314.138612402311,1.9115838452006728,1.2747736318974392,0.0008514593006984129,2.2822822822822824
-0.018380120213760134,-0.08333718904309123,314.13747963593505,314.13766811661384,1.9116701315640592,1.2748477548754173,0.0009153707693906458,2.3423423423423424
-0.019717591685108296,-0.08466328775650024,314.1365210193863,314.13671085150804,1.9117582479242863,1.2749232107087842,0.0009821306153786616,2.4024024024024024
